step,time,_step,_timestamp,l2_error,loss_boundary,loss_interior,loss,_runtime
0,37.111448764801025,0,1726519417.323874,264.22088969521934,127400.25206302044,1225.288350358502,128625.54041337894,38.46422290802002
1,72.01523184776306,1,1726519451.961932,262.3423437830481,62588.21535259558,7560.460020565522,70148.6753731611,73.10228085517883
2,106.65373301506042,2,1726519486.6003695,261.14152514946477,61323.554407377866,1806.5463875850025,63130.10079496287,107.74071836471558
3,141.29164338111877,3,1726519521.238263,259.56039049767764,60682.82509701961,2116.0193181503823,62798.844415169995,142.3786118030548
4,175.9287621974945,4,1726519555.8754663,258.6932642541413,59891.19661141774,2768.507509471872,62659.70412088961,177.01581525802612
5,210.5662350654602,5,1726519590.5128887,256.91133309158033,59474.41415720929,3153.8937587212113,62628.307915930505,211.65323758125305
6,245.20390558242798,6,1726519625.1504855,226.29889939264675,58647.31574929589,3839.9627203912196,62487.27846968711,246.29083442687988
7,279.8418986797333,7,1726519659.7885163,225.83478811942535,47459.51154368696,13677.58814542294,61137.0996891099,280.9288651943207
8,314.4793963432312,8,1726519694.426046,224.8258283070129,49093.65114016835,2823.754818823431,51917.40595899178,315.5663948059082
9,349.117244720459,9,1726519729.0638478,211.84951909188715,48845.57573582447,2149.86114077274,50995.4368765972,350.20419669151306
10,383.7453145980835,10,1726519763.6914988,211.1198054596796,44551.34779009761,161224.2056839189,205775.55347401652,384.8318476676941
11,418.33302664756775,11,1726519798.2794526,211.06095731604617,44348.42847820616,7014.386402017604,51362.81488022376,419.41980147361755
12,452.9235780239105,12,1726519832.8703606,211.67529394904284,44337.21960412987,4125.386338827102,48462.60594295697,454.01070952415466
13,487.51173520088196,13,1726519867.458409,211.84034085693295,44560.13357525094,2717.3854414302846,47277.519016681224,488.598757982254
14,522.101491689682,14,1726519902.0480573,211.84883428321257,44615.39999610876,2421.0385961711527,47036.43859227991,523.1884062290192
15,556.7004420757294,15,1726519936.646819,211.87489138976485,44618.26833540917,2417.532137798236,47035.800473207404,557.7871680259705
16,591.2932608127594,16,1726519971.2395282,211.89473094565614,44627.2074369061,2401.439233852219,47028.64667075832,592.3798770904541
17,625.8854115009308,17,1726520005.8318622,211.9574817305902,44634.145677157314,2386.1513637565918,47020.29704091391,626.9722111225128
18,660.4688906669617,18,1726520040.4154484,212.07188015504633,44656.48047814336,2342.054903187015,46998.53538133038,661.5557973384857
19,695.0558540821075,19,1726520075.0024443,212.18208632062044,44697.180071234274,2268.04361512209,46965.22368635637,696.1427931785583
20,729.6400244235992,20,1726520109.5866604,212.94229300220798,45284.35493446708,61807.3221246198,107091.67705908688,730.7270092964172
21,764.2311975955963,21,1726520144.1779263,219.12335697300412,45516.57520218718,7150.714705838578,52667.28990802576,765.3182752132416
22,798.8220641613007,22,1726520178.7683825,219.36200199878684,47426.833937227784,4891.5366414990285,52318.37057872681,799.9087314605713
23,833.4129338264465,23,1726520213.3592856,219.7951439414219,47501.41264609971,4623.769910726244,52125.18255682595,834.4996345043182
24,868.004873752594,24,1726520247.9514925,222.8693379057231,47636.91153935824,4195.777720415956,51832.6892597742,869.0918414592743
25,902.6001417636871,25,1726520282.546723,222.8693379057231,48604.11118805051,2119.61159290866,50723.72278095917,903.6870718002319
26,937.1911723613739,26,1726520317.137753,222.8693379057231,48604.11118805051,2119.61159290866,50723.72278095917,938.2781019210815
27,971.7833590507507,27,1726520351.7299192,222.89936862871042,48604.11118805051,2119.61159290866,50723.72278095917,972.8702681064606
28,1006.3746659755707,28,1726520386.3212388,222.95134412980534,48613.59706916716,2109.7162110494087,50723.31328021657,1007.4615876674652
29,1040.9697060585022,29,1726520420.916248,222.99600200135063,48630.00775909337,2089.949287570405,50719.957046663774,1042.0565969944
30,1075.5644454956055,30,1726520455.510863,223.2753051529279,47919.97902595633,34145.35501071102,82065.33403666735,1076.651211977005
31,1110.1531603336334,31,1726520490.0998278,219.0652223969135,48007.270939443275,4762.869232112898,52770.14017155617,1111.2401766777039
32,1144.7443125247955,32,1726520524.6909065,217.06064122942018,46688.510476724834,5193.16175549528,51881.67223222012,1145.8312554359436
33,1179.3378937244415,33,1726520559.284489,206.8671360495422,46072.65872806128,3564.6533390916497,49637.31206715293,1180.4248378276825
34,1213.9279935359955,34,1726520593.8746793,187.32766678167496,42999.07178186861,4482.032106736139,47481.103888604746,1215.0150282382965
35,1248.518827199936,35,1726520628.4650798,184.71700883623868,37356.18879381481,6651.166765452712,44007.35555926752,1249.6054286956787
36,1283.1104304790497,36,1726520663.0568883,184.38246800850246,36598.308585200786,2532.1519978517554,39130.46058305254,1284.197237253189
37,1317.702553510666,37,1726520697.649069,183.97824086170345,36498.18316290039,2449.0599751006457,38947.24313800103,1318.7894179821014
38,1352.2954201698303,38,1726520732.24215,182.39331754173006,36380.09648053935,2479.9078464198224,38860.00432695918,1353.3824989795685
39,1386.8870286941528,39,1726520766.833681,180.38049699937412,35928.694700955806,2287.759985966074,38216.45468692188,1387.9740300178528
40,1421.4817821979523,40,1726520801.4283283,178.92105531227693,35292.35322041264,4486.1015577284525,39778.454778141095,1422.568677186966
42,1490.6077644824982,41,1726520870.554214,166.26485705699736,32774.531439889906,2353.768320780496,35128.2997606704,1491.6945629119873
46,1628.7892928123474,42,1726521008.73592,153.26215522767185,29390.97178277849,3395.259488514308,32786.231271292796,1629.876268863678
50,1766.968582868576,43,1726521146.9150498,101.41254826140536,16469.337594583765,22445.66963482001,38915.007229403775,1768.0553987026215
55,1939.66148686409,44,1726521319.6079414,100.7634642560592,16624.583484240564,2643.580905851253,19268.164390091817,1940.7482903003693
61,2146.878139734268,45,1726521526.824823,89.65391330680835,14094.215926716235,3676.801929385677,17771.017856101913,2147.965171813965
67,2354.1252768039703,46,1726521734.0718482,87.06623936250199,13615.428058752941,1998.2393801467629,15613.667438899703,2355.2121970653534
73,2561.3221604824066,47,1726521941.2686222,84.5598643746118,13460.20251352429,2705.866670561518,16166.069184085807,2562.4089710712433
81,2837.6004350185394,48,1726522217.5468771,85.87306779017472,13939.113508410715,1857.6980578260245,15796.81156623674,2838.6872260570526
89,3113.846969127655,49,1726522493.7933776,75.34772150160754,12436.217290450251,1784.013535262887,14220.230825713139,3114.9337265491486
98,3424.6549837589264,50,1726522804.6013498,73.0541831352479,11113.614226495301,2225.1385394427675,13338.752765938068,3425.741698741913
107,3735.425400495529,51,1726523115.3719573,68.75461006287527,10874.640170562849,2044.0391302491864,12918.679300812035,3736.512306213379
118,4115.244926691055,52,1726523495.1913538,63.01017508555468,9516.072124013202,1843.8724590712256,11359.944583084429,4116.331702709198
130,4529.658686161041,53,1726523909.605201,59.25940129105856,8367.743701865324,13715.210759600255,22082.95446146558,4530.745549917221
143,4978.600379228592,54,1726524358.5467377,55.53274057107087,8148.459849281699,1618.204535514462,9766.66438479616,4979.687086582184
157,5461.969964265823,55,1726524841.916735,48.14828283268595,6832.090928160613,1356.8549457925824,8188.945873953195,5463.057083845139
172,5979.858325004578,56,1726525359.8046956,46.37123625950395,5329.660168234961,2069.9186622376733,7399.578830472634,5980.945044517517
190,6601.355090379715,57,1726525981.301418,47.78816310315766,3810.8715927652715,1086916.6445667986,1090727.5161595638,6602.44176697731
208,7222.780872344971,58,1726526602.7272189,47.87273823088582,3914.0395522608032,2793.4066719488155,6707.446224209619,7223.867567777634
229,7948.271157026291,59,1726527328.2178924,46.79875322839296,5152.232679829257,3831.2259247296033,8983.45860455886,7949.358241319656
252,8743.421220779419,60,1726528123.3674278,49.05568493552016,6307.313501022233,3695.1139984086744,10002.427499430907,8744.507776737213
277,9606.62727355957,61,1726528986.573637,47.10689574636291,5512.540323599089,2683.259479042737,8195.799802641826,9607.713985919952
289,10021.014536619186,62,1726529400.9609184,47.21534364356837,5517.492697621165,3550.0754103360773,9067.568107957242,10022.101267337799
